id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
12271126,32126689,32126689,388773005,388772999,81,t,f,2016-02-12 21:08:56,2016-02-15 18:20:27
12304881,32126689,32126689,389616435,388772999,82,t,f,2016-02-14 22:46:53,2016-02-14 22:49:15
12324062,32126689,32126689,390061377,390045093,84,t,f,2016-02-15 18:56:14,2016-02-17 14:02:38
12357691,32126689,32126689,390729700,390045093,85,t,f,2016-02-16 22:26:50,2016-02-16 22:37:06
12383101,32126689,32126689,391366194,391195497,86,t,f,2016-02-17 19:40:30,2016-02-18 18:20:50
12394173,32126689,32126689,391605575,391195497,88,t,f,2016-02-18 04:42:40,2016-02-18 17:54:53
12411028,32126689,32126689,391967157,391961854,89,t,f,2016-02-18 18:52:55,2016-02-18 18:56:55
12504603,32126689,32126689,394146531,392045325,92,t,f,2016-02-22 19:03:39,2016-02-22 20:19:10
12545287,32126689,32126689,394886035,394370993,95,t,f,2016-02-24 04:16:35,2016-02-25 17:58:57
12560664,32126689,32126689,395397429,394370993,96,t,f,2016-02-24 17:25:24,2016-02-24 17:29:30
12561314,32126689,32126689,395402930,395402928,99,t,f,2016-02-24 17:49:53,2016-02-24 17:55:25
12561610,32126689,32126689,395405755,395405754,101,t,f,2016-02-24 18:00:20,2016-02-24 18:06:12
12565958,32126689,32126689,395447776,395447774,102,t,f,2016-02-24 20:47:25,2016-02-24 20:52:17
12596594,32126689,32126689,396231294,396231293,103,t,f,2016-02-25 22:08:20,2016-02-25 22:14:21
12604350,32126689,32126689,396416103,396416102,107,t,f,2016-02-26 05:35:11,2016-02-26 22:33:57
12605049,32126689,32126689,396453212,396416102,108,t,f,2016-02-26 06:27:44,2016-02-29 23:51:22
12621136,32126689,32126689,396795955,396416102,109,t,t,2016-02-26 19:49:48,2016-02-26 19:55:41
12655435,32126689,32126689,397951336,397149381,110,t,f,2016-02-28 21:25:28,2016-02-28 22:25:30
12656337,32126689,32126689,397975428,397974395,111,t,f,2016-02-28 22:28:34,2016-02-28 22:42:51
12671328,32126689,32126689,398339338,397980729,113,t,f,2016-02-29 15:08:03,2016-02-29 15:26:05
12689880,32126689,32126689,398638862,398638859,115,t,f,2016-03-01 04:49:08,2016-03-01 20:01:43
12711576,32126689,32126689,399227315,399228025,116,t,f,2016-03-01 21:40:43,2016-03-10 21:02:27
12734083,32126689,32126689,399706734,399228025,117,t,f,2016-03-02 16:47:54,2016-03-02 20:59:14
12740712,32126689,32126689,399846975,399228025,118,t,f,2016-03-02 20:57:43,2016-03-02 21:14:31
12796276,32126689,32126689,401070513,399864233,123,t,f,2016-03-04 18:18:32,2016-03-04 19:22:44
12816649,32126689,32126689,401523385,401100282,125,t,f,2016-03-05 16:44:40,2016-03-07 16:04:45
12869934,32126689,32126689,402798493,402532668,127,t,f,2016-03-08 00:54:29,2016-03-08 01:09:29
12886204,32126689,32126689,403177644,402804138,129,t,f,2016-03-08 16:08:47,2016-03-08 16:24:01
12928849,32126689,32126689,404055499,403188269,132,t,f,2016-03-09 22:43:32,2016-03-10 23:04:04
12955542,32126689,32126689,404619091,403188269,133,t,f,2016-03-10 20:09:30,2016-03-10 22:00:51
12959041,32126689,32126689,404701363,404688346,134,t,f,2016-03-10 22:27:03,2016-03-10 22:39:56
12976806,32126689,32126689,404656916,404720625,135,t,f,2016-03-11 15:08:43,2016-03-11 17:15:07
12978177,32126689,32126689,405138047,404720625,136,t,f,2016-03-11 15:59:43,2016-03-11 23:55:22
12978666,32126689,32126689,405148064,404720625,137,t,f,2016-03-11 16:17:34,2016-03-11 16:20:33
12978782,32126689,32126689,405150321,405149771,139,t,f,2016-03-11 16:21:35,2016-03-11 16:34:42
12980693,32126689,32126689,405188026,405179264,140,t,f,2016-03-11 17:36:27,2016-03-11 18:42:09
12985362,32126689,32126689,405279584,405219599,141,t,f,2016-03-11 20:56:09,2016-03-14 15:50:41
12985568,32126689,32126689,405283687,405219599,142,t,f,2016-03-11 21:04:43,2016-03-11 21:08:13
12988938,32126689,32126689,405343702,405285101,143,t,f,2016-03-11 23:34:16,2016-03-11 23:46:36
12989401,32126689,32126689,405351574,405350709,144,t,f,2016-03-11 23:57:59,2016-03-12 00:02:21
13037853,32126689,32126689,406610305,406600668,145,t,f,2016-03-14 16:06:00,2016-03-14 16:14:57
13043569,32126689,32126689,406718080,406615889,146,t,t,2016-03-14 19:43:07,2016-03-14 19:46:32
13046700,32126689,32126689,406780230,406742960,147,t,f,2016-03-14 21:41:39,2016-03-16 14:25:21
13063082,32126689,32126689,407181507,406742960,148,t,f,2016-03-15 13:45:13,2016-03-16 02:28:42
13075064,32126689,32126689,407353948,406742960,149,t,f,2016-03-15 21:06:32,2016-03-29 22:41:31
13101365,32126689,32126689,407955032,407865023,152,t,f,2016-03-16 19:08:52,2016-03-17 15:08:08
13107544,32126689,32126689,408077102,407865023,153,t,f,2016-03-16 23:12:41,2016-03-22 22:35:14
13155423,32126689,32126689,409317292,408572013,155,t,f,2016-03-18 16:53:58,2016-03-23 22:21:06
13182321,32126689,32126689,410015742,408572013,156,t,f,2016-03-20 04:33:49,2016-03-29 14:04:16
13212944,32126689,32126689,410800407,408572013,157,t,f,2016-03-21 16:32:28,2016-03-21 21:17:53
13215757,32126689,32126689,410833323,408572013,158,t,f,2016-03-21 18:20:26,2016-03-22 18:29:45
13222354,32126689,32126689,410990010,410990007,160,t,f,2016-03-21 22:45:36,2016-03-22 04:28:47
13282591,32126689,32126689,412291487,411726698,162,t,f,2016-03-23 20:41:37,2016-03-23 20:48:26
13307916,32126689,32126689,412815192,412346323,164,t,f,2016-03-24 17:09:00,2016-03-24 18:00:24
13308328,32126689,32126689,412818085,412346323,165,t,f,2016-03-24 17:24:47,2016-03-24 17:31:19
13309337,32126689,32126689,412837056,412829950,166,t,f,2016-03-24 18:01:50,2016-03-24 18:23:17
13311565,32126689,32126689,412881489,412859964,168,t,f,2016-03-24 19:29:30,2016-03-29 14:16:09
13313576,32126689,32126689,412920858,412859964,169,t,f,2016-03-24 20:46:10,2016-03-24 20:50:22
13314234,32126689,32126689,412943945,412933674,170,t,f,2016-03-24 21:11:48,2016-03-24 21:19:51
13336856,32126689,32126689,413405724,412948022,171,t,t,2016-03-25 18:21:14,2016-03-25 18:21:18
13337188,32126689,32126689,413448159,413442054,172,t,t,2016-03-25 18:35:18,2016-03-25 18:35:20
13339649,32126689,32126689,413493028,413448167,173,t,f,2016-03-25 20:15:10,2016-03-25 20:16:39
13341425,32126689,32126689,413522221,413493632,174,t,f,2016-03-25 21:21:55,2016-03-25 21:23:48
13345401,32126689,32126689,413590491,413523022,175,t,f,2016-03-26 00:29:25,2016-03-28 14:16:36
13347511,32126689,32126689,413632484,413523022,177,t,f,2016-03-26 03:00:23,2016-03-28 14:22:08
13398445,32126689,32126689,414881679,414723715,179,t,f,2016-03-28 19:34:08,2016-03-31 14:05:34
13423045,32126689,32126689,415365717,415365714,180,t,t,2016-03-29 15:36:31,2016-03-29 15:39:58
13423432,32126689,32126689,415368002,415368000,181,t,f,2016-03-29 15:51:41,2016-03-29 15:54:09
13424176,32126689,32126689,415375742,415375737,183,t,t,2016-03-29 16:17:03,2016-03-29 16:17:08
13432817,32126689,32126689,415674382,415674381,184,t,f,2016-03-29 21:26:48,2016-03-29 21:28:28
13461751,32126689,32126689,416446029,415849632,185,t,f,2016-03-30 19:02:39,2016-03-30 19:07:48
13463585,32126689,32126689,416486361,416455483,186,t,f,2016-03-30 20:06:00,2016-03-30 20:08:37
13490397,32126689,32126689,417008647,416950904,187,t,f,2016-03-31 15:42:44,2016-03-31 15:44:08
13576441,32126689,32126689,418835349,417009348,188,t,f,2016-04-04 03:25:44,2016-04-05 22:22:29
13597744,32126689,32126689,419263421,417009348,190,t,f,2016-04-04 19:29:07,2016-04-04 19:38:00
13603554,32126689,32126689,419366927,419268025,191,t,f,2016-04-04 22:52:57,2016-04-14 01:12:18
13659022,32126689,32126689,420392045,419995281,192,t,t,2016-04-06 16:20:21,2016-04-06 16:30:41
13664716,32126689,32126689,420432283,420432281,193,t,t,2016-04-06 19:56:45,2016-04-06 20:42:45
13821305,32126689,32126689,424358891,420688638,194,t,f,2016-04-12 04:27:08,2016-04-14 03:51:22
13904839,32126689,32126689,426020678,426020674,195,t,t,2016-04-14 07:16:21,2016-04-14 22:16:16
13904612,32126689,32126689,426495174,426286319,196,t,t,2016-04-14 22:06:05,2016-04-14 22:08:50
13879147,32126689,32126689,426020682,426020670,197,t,t,2016-04-15 06:17:51,2016-04-15 18:12:11
13890465,32126689,32126689,426280408,426280403,198,t,t,2016-04-15 18:03:08,2016-04-15 18:16:11
13892853,32126689,32126689,426337139,426337132,199,t,t,2016-04-15 19:35:45,2016-04-15 20:19:54
13980988,32126689,32126689,427896319,427123423,200,t,f,2016-04-18 22:26:32,2016-04-19 18:35:19
14047261,32126689,32126689,430648127,429932124,201,t,f,2016-04-20 19:50:36,2016-04-20 19:56:12
14050373,32126689,32126689,430705685,430651192,202,t,f,2016-04-20 21:32:22,2016-04-20 21:33:15
14051624,32126689,32126689,430728057,430706061,203,t,f,2016-04-20 22:17:15,2016-04-22 21:01:02
14085714,32126689,32126689,431360788,430706061,204,t,f,2016-04-21 21:01:10,2016-04-21 22:18:18
14090689,32126689,32126689,431448781,431401162,205,t,f,2016-04-22 00:17:15,2016-04-22 15:21:17
14094771,32126689,32126689,431526112,431401162,206,t,f,2016-04-22 03:53:20,2016-04-22 15:28:08
14095608,32126689,32126689,431475832,431401162,207,t,f,2016-04-22 04:40:07,2016-04-29 20:31:39
14196918,32126689,32126689,433745200,432022128,208,t,f,2016-04-25 22:36:34,2016-04-28 03:28:59
14259661,32126689,32126689,434967470,432022128,209,t,f,2016-04-27 17:25:18,2016-05-17 20:48:50
14264506,32126689,32126689,435052924,432022128,210,t,f,2016-04-27 19:57:36,2016-04-28 16:55:14
14300086,32126689,32126689,435765721,435666429,211,t,f,2016-04-28 19:56:49,2016-04-28 20:00:06
14302118,32126689,32126689,435801677,435767683,212,t,f,2016-04-28 20:59:34,2016-04-29 18:39:03
14329501,32126689,32126689,436360326,435767683,213,t,f,2016-04-29 17:36:22,2016-04-29 17:39:27
14334387,32126689,32126689,436449090,436393464,214,t,f,2016-04-29 20:30:46,2016-04-29 20:38:19
14336300,32126689,32126689,436481516,436453385,215,t,f,2016-04-29 21:36:10,2016-04-29 21:41:45
14338402,32126689,32126689,436524251,436483921,216,t,f,2016-04-29 23:11:54,2016-04-29 23:12:08
14393589,32126689,32126689,437908676,436524315,218,t,f,2016-05-02 16:43:48,2016-05-02 16:57:28
14425768,32126689,32126689,438514358,437917390,219,t,f,2016-05-03 14:50:56,2016-05-04 16:11:26
14462735,32126689,32126689,439204534,437917390,220,t,f,2016-05-04 15:56:31,2016-05-05 14:02:23
14472394,32126689,32126689,439303899,439288062,221,t,f,2016-05-04 22:01:56,2016-05-05 13:57:35
14490836,32126689,32126689,439942259,439876532,224,t,f,2016-05-05 15:57:51,2016-05-05 16:02:20
14501496,32126689,32126689,440139416,439945191,225,t,f,2016-05-05 22:42:55,2016-05-11 21:47:03
