id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
11778354,31244492,31244492,377314063,377285559,1,t,f,2016-01-22 18:51:26,2016-01-26 05:11:29
11779527,31244492,31244492,377336911,377285559,2,t,f,2016-01-22 19:44:11,2016-01-22 19:50:43
11779842,31244492,31244492,377343095,377339497,3,t,f,2016-01-22 19:59:50,2016-01-23 00:03:23
11779919,31244492,31244492,377344808,377339497,4,t,f,2016-01-22 20:03:40,2016-01-26 05:26:44
11780370,31244492,31244492,377354380,377339497,5,t,f,2016-01-22 20:26:43,2016-01-22 21:57:56
11780802,31244492,31244492,377363424,377339497,6,t,f,2016-01-22 20:48:18,2016-01-22 21:59:09
11782015,31244492,31244492,377388242,377339497,7,t,f,2016-01-22 21:45:56,2016-01-22 21:58:22
11782204,31244492,31244492,377363424,377339497,8,t,f,2016-01-22 21:55:50,2016-01-22 21:55:58
11782222,31244492,31244492,377392432,377339497,9,t,f,2016-01-22 21:56:23,2016-01-22 22:40:22
11782226,31244492,31244492,377354380,377339497,10,t,t,2016-01-22 21:56:45,2016-01-22 21:56:50
11782272,31244492,31244492,377394055,377339497,11,t,f,2016-01-22 21:58:57,2016-01-26 05:12:49
11782527,31244492,31244492,377399054,377339497,12,t,f,2016-01-22 22:10:56,2016-01-22 23:22:14
11782718,31244492,31244492,377402272,377339497,13,t,f,2016-01-22 22:19:47,2016-01-22 22:26:30
11782948,31244492,31244492,377407027,377405257,14,t,f,2016-01-22 22:31:35,2016-01-25 16:53:10
11784450,31244492,31244492,377435524,377425970,15,t,f,2016-01-22 23:53:33,2016-01-28 15:54:40
11793716,31244492,31244492,377703553,377438753,16,t,f,2016-01-23 17:37:55,2016-01-25 16:28:21
11809438,31244492,31244492,378153132,377438753,17,t,f,2016-01-24 19:22:15,2016-01-25 18:14:16
11832993,31244492,31244492,378584222,378584211,18,t,t,2016-01-25 19:38:26,2016-01-25 20:00:10
11834065,31244492,31244492,378592049,378592045,19,t,t,2016-01-25 20:20:58,2016-01-25 21:13:57
11834440,31244492,31244492,378594534,378592045,20,t,t,2016-01-25 20:23:31,2016-01-25 23:08:14
11835729,31244492,31244492,378605534,378605531,21,t,f,2016-01-25 21:32:46,2016-01-28 17:08:45
11835735,31244492,31244492,378605613,378605531,22,t,t,2016-01-25 21:33:03,2016-01-25 21:58:09
11837231,31244492,31244492,378617333,378617332,23,t,f,2016-01-25 22:37:24,2016-01-26 05:03:05
11837726,31244492,31244492,378623554,378617332,24,t,f,2016-01-25 22:59:56,2016-01-26 05:22:37
11842634,31244492,31244492,378669233,378669228,25,t,t,2016-01-26 04:10:57,2016-01-26 04:12:01
11843129,31244492,31244492,378676585,378676581,26,t,t,2016-01-26 05:04:08,2016-01-26 05:08:23
11843388,31244492,31244492,378680113,378680110,27,t,t,2016-01-26 05:32:53,2016-01-26 05:33:35
11843400,31244492,31244492,378680363,378680362,28,t,f,2016-01-26 05:34:00,2016-01-26 20:43:31
11853230,31244492,31244492,378966382,378680362,29,t,f,2016-01-26 15:46:39,2016-01-26 21:20:18
11853722,31244492,31244492,378972232,378680362,30,t,f,2016-01-26 16:05:28,2016-01-28 05:07:03
11855910,31244492,31244492,379123058,378680362,31,t,f,2016-01-26 17:35:05,2016-01-27 22:17:33
11861089,31244492,31244492,379379345,379379342,32,t,f,2016-01-26 20:58:10,2016-01-26 23:12:40
11861097,31244492,31244492,379379405,379379342,33,t,f,2016-01-26 20:58:19,2016-01-28 02:49:06
11861653,31244492,31244492,379428457,379379342,34,t,f,2016-01-26 21:19:57,2016-01-28 23:22:33
11862386,31244492,31244492,379463147,379448002,35,t,f,2016-01-26 21:47:09,2016-01-26 23:23:22
11862531,31244492,31244492,379463910,379448002,36,t,f,2016-01-26 21:53:30,2016-01-27 22:40:26
11862734,31244492,31244492,379464965,379448002,37,t,f,2016-01-26 22:00:51,2016-01-27 14:38:14
11865377,31244492,31244492,379521829,379510793,38,t,f,2016-01-26 23:52:12,2016-01-26 23:57:38
11868699,31244492,31244492,379589785,379523947,39,t,f,2016-01-27 02:55:59,2016-01-27 17:07:55
11868826,31244492,31244492,379592488,379523947,40,t,f,2016-01-27 03:03:03,2016-01-27 15:43:34
11869047,31244492,31244492,379597035,379523947,41,t,f,2016-01-27 03:15:05,2016-01-27 16:53:05
11871269,31244492,31244492,379654241,379523947,42,t,f,2016-01-27 06:18:35,2016-01-27 06:20:01
11879777,31244492,31244492,379851346,379851578,43,t,f,2016-01-27 14:37:23,2016-01-27 14:37:58
11885192,31244492,31244492,379953757,379931366,44,t,f,2016-01-27 17:53:19,2016-01-27 21:47:32
11885587,31244492,31244492,379961871,379931366,45,t,f,2016-01-27 18:10:00,2016-01-27 22:39:54
11888442,31244492,31244492,380012208,380005658,46,t,f,2016-01-27 19:54:32,2016-01-28 21:14:03
11889736,31244492,31244492,380035510,379931366,47,t,f,2016-01-27 20:40:52,2016-01-28 02:57:16
11889985,31244492,31244492,380040832,379931366,48,t,f,2016-01-27 20:50:38,2016-01-28 20:01:18
11891903,31244492,31244492,380076174,380070735,49,t,f,2016-01-27 21:58:34,2016-01-28 15:59:59
11895111,31244492,31244492,380135914,380096893,50,t,f,2016-01-28 00:08:49,2016-01-28 05:14:50
11913040,31244492,31244492,380515193,380163910,51,t,f,2016-01-28 04:03:52,2016-01-28 19:31:16
11912758,31244492,31244492,380510132,380163910,52,t,f,2016-01-28 04:18:04,2016-01-28 19:20:38
11896334,31244492,31244492,380163929,380163910,53,t,f,2016-01-28 04:46:21,2016-01-28 16:00:37
11907381,31244492,31244492,380411700,380163910,54,t,t,2016-01-28 04:57:43,2016-01-28 16:01:44
11896941,31244492,31244492,380178778,380168384,55,t,f,2016-01-28 06:13:40,2016-01-28 19:58:42
11909187,31244492,31244492,380447429,380411710,56,t,f,2016-01-28 17:09:09,2016-01-28 20:23:38
11911540,31244492,31244492,380490400,380411710,57,t,f,2016-01-28 18:37:12,2016-01-28 20:19:01
11912991,31244492,31244492,380514309,380510150,58,t,f,2016-01-28 19:29:25,2016-01-28 19:57:30
11915377,31244492,31244492,380555761,380540420,59,t,f,2016-01-28 20:55:45,2016-01-28 23:09:39
11915418,31244492,31244492,380556584,380540420,60,t,f,2016-01-28 20:56:58,2016-02-01 19:45:24
11915910,31244492,31244492,380565088,380540420,61,t,f,2016-01-28 21:14:45,2016-01-28 21:37:29
11938134,31244492,31244492,381086800,380625260,62,t,f,2016-01-29 16:57:10,2016-02-03 22:02:28
11939705,31244492,31244492,381117498,380625260,63,t,f,2016-01-29 18:01:34,2016-02-03 23:11:15
11941374,31244492,31244492,381147926,380625260,64,t,f,2016-01-29 19:10:26,2016-01-30 03:21:28
11943472,31244492,31244492,381183976,381182330,65,t,f,2016-01-29 20:37:54,2016-02-01 22:57:46
11943881,31244492,31244492,381192947,381182330,66,t,f,2016-01-29 20:58:35,2016-02-02 00:59:51
11944329,31244492,31244492,381201082,381182330,67,t,f,2016-01-29 21:19:09,2016-02-01 16:35:20
11944595,31244492,31244492,381207465,381182330,68,t,f,2016-01-29 21:32:28,2016-02-01 22:40:05
11944600,31244492,31244492,381207653,381182330,69,t,f,2016-01-29 21:33:01,2016-02-01 17:16:35
11944707,31244492,31244492,381209236,381182330,70,t,f,2016-01-29 21:37:05,2016-02-01 20:37:48
11944804,31244492,31244492,381211041,381182330,71,t,f,2016-01-29 21:41:28,2016-02-04 17:26:21
11993795,31244492,31244492,382524019,381323560,72,t,f,2016-02-01 15:56:00,2016-02-02 00:34:49
11994572,31244492,31244492,382538562,381323560,73,t,f,2016-02-01 16:24:33,2016-02-01 19:45:36
11995646,31244492,31244492,382560288,382544965,74,t,f,2016-02-01 17:05:26,2016-02-01 22:45:28
11996207,31244492,31244492,382572216,382566345,75,t,f,2016-02-01 17:29:53,2016-02-01 21:13:29
11996284,31244492,31244492,382573643,382566345,76,t,f,2016-02-01 17:32:37,2016-02-01 21:21:08
11996305,31244492,31244492,382573939,382566345,77,t,f,2016-02-01 17:33:17,2016-02-02 00:28:29
11996443,31244492,31244492,382576387,382566345,78,t,f,2016-02-01 17:38:51,2016-02-01 21:52:37
11996445,31244492,31244492,382576421,382566345,79,t,f,2016-02-01 17:38:54,2016-02-01 19:41:45
12003049,31244492,31244492,382702211,382566345,80,t,t,2016-02-01 18:59:34,2016-02-01 22:04:21
11999139,31244492,31244492,382627518,382566345,81,t,f,2016-02-01 19:31:01,2016-02-01 21:02:13
11999323,31244492,31244492,382630815,382566345,82,t,f,2016-02-01 19:38:13,2016-02-03 23:22:06
12003521,31244492,31244492,382712664,382703128,83,t,f,2016-02-01 22:24:30,2016-02-03 03:31:02
12003583,31244492,31244492,382713920,382703128,84,t,f,2016-02-01 22:27:25,2016-02-03 16:22:00
12007029,31244492,31244492,382779930,382774996,85,t,f,2016-02-02 01:14:05,2016-02-03 03:41:18
12026825,31244492,31244492,383208523,382774996,86,t,f,2016-02-02 19:12:22,2016-02-03 03:07:57
12026962,31244492,31244492,383211494,382774996,87,t,f,2016-02-02 19:18:14,2016-02-03 02:59:53
12027780,31244492,31244492,383226887,382774996,88,t,f,2016-02-02 19:48:51,2016-02-03 02:51:47
12027789,31244492,31244492,383227104,382774996,89,t,f,2016-02-02 19:49:27,2016-02-03 03:24:05
12030011,31244492,31244492,383270385,382774996,90,t,f,2016-02-02 21:16:25,2016-02-04 17:25:53
12049271,31244492,31244492,383698343,383423259,91,t,f,2016-02-03 15:56:43,2016-02-22 23:44:18
12051499,31244492,31244492,383740091,383714167,92,t,f,2016-02-03 17:12:24,2016-02-03 17:42:06
12052632,31244492,31244492,383767455,383761682,93,t,f,2016-02-03 17:52:57,2016-02-03 21:37:04
12055680,31244492,31244492,383828341,383761682,94,t,f,2016-02-03 19:58:29,2016-02-10 23:57:21
12057202,31244492,31244492,383857361,383761682,95,t,f,2016-02-03 21:00:48,2016-02-03 22:03:38
