id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
18737957,46634954,46634954,490072706,490072700,551,t,f,2016-08-11 16:26:36,2016-12-09 20:44:15
17406246,46634954,46634954,520497383,518511374,734,t,t,2016-09-23 21:19:41,2016-09-27 15:28:47
17380661,46634954,46634954,520009443,519996094,736,t,f,2016-09-26 17:03:38,2016-10-19 15:16:05
17381691,46634954,46634954,520030873,519996094,738,t,t,2016-09-26 17:43:15,2016-09-26 19:57:43
17385848,46634954,46634954,520112517,520106647,739,t,t,2016-09-26 20:08:12,2016-09-27 00:09:22
17387962,46634954,46634954,520144241,520106647,742,t,t,2016-09-26 21:25:23,2016-10-10 21:41:42
17421578,46634954,46634954,520790297,520644672,744,t,t,2016-09-27 19:40:10,2016-09-29 15:13:45
17421703,46634954,46634954,520792109,520644672,745,t,t,2016-09-27 19:44:30,2016-09-28 00:13:32
17421806,46634954,46634954,520794394,520644672,746,t,t,2016-09-27 19:47:57,2016-09-28 14:10:21
17425051,46634954,46634954,520853230,520841887,748,t,t,2016-09-27 21:35:12,2016-09-30 15:35:38
17463864,46634954,46634954,521318714,521318707,749,t,t,2016-09-28 20:25:14,2016-09-29 11:51:58
17481578,46634954,46634954,521483436,521483433,750,t,t,2016-09-29 15:04:58,2016-09-29 15:21:47
17490531,46634954,46634954,521550703,521550693,752,t,f,2016-09-29 20:22:01,2018-05-10 14:41:59
17490897,46634954,46634954,521552869,521550693,753,t,t,2016-09-29 20:36:04,2016-09-30 20:17:06
17511145,46634954,46634954,522068546,521550693,754,t,t,2016-09-30 14:35:05,2016-09-30 19:33:27
17511871,46634954,46634954,522104887,521550693,755,t,t,2016-09-30 15:02:31,2016-09-30 21:46:21
17515019,46634954,46634954,522167534,521550693,757,t,f,2016-09-30 16:37:20,2016-09-30 20:46:20
17516984,46634954,46634954,522217217,521550693,758,t,t,2016-09-30 17:47:35,2016-09-30 21:45:33
17524465,46634954,46634954,522436715,522436710,760,t,t,2016-09-30 22:16:35,2016-09-30 22:41:29
17560615,46634954,46634954,524462026,523416686,763,t,f,2016-10-02 15:59:34,2018-05-10 14:42:22
17560862,46634954,46634954,524469638,523416686,765,t,f,2016-10-02 16:12:56,2016-10-03 23:02:50
17564903,46634954,46634954,524578378,523416686,767,t,t,2016-10-02 19:25:32,2016-10-04 14:17:26
17599521,46634954,46634954,525193827,523416686,769,t,t,2016-10-03 23:50:44,2016-10-04 20:45:58
17601076,46634954,46634954,525202463,525202462,770,t,t,2016-10-04 16:59:33,2016-10-07 19:34:03
17663351,46634954,46634954,525653668,525342362,772,t,t,2016-10-05 19:24:57,2016-10-05 22:43:06
17621810,46634954,46634954,525342363,525342359,777,t,t,2016-10-06 17:50:24,2016-10-10 13:32:32
17682691,46634954,46634954,525780294,525342359,780,t,t,2016-10-06 21:30:23,2016-10-07 20:45:38
17696677,46634954,46634954,525909795,525342359,781,t,t,2016-10-06 21:40:46,2016-10-07 14:42:17
17709517,46634954,46634954,526027111,525342359,782,t,t,2016-10-07 11:25:04,2016-10-09 11:38:40
17717426,46634954,46634954,526108005,526108004,784,t,t,2016-10-07 16:33:43,2016-10-07 18:13:48
17722336,46634954,46634954,526258180,526258179,785,t,t,2016-10-07 19:32:37,2016-10-07 20:00:04
17724782,46634954,46634954,526322700,526322689,786,t,t,2016-10-07 21:04:45,2016-10-20 15:21:27
17726642,46634954,46634954,526420368,526322689,787,t,t,2016-10-07 22:20:01,2016-10-10 17:20:32
17753964,46634954,46634954,529473656,529438821,788,t,t,2016-10-09 13:10:20,2016-10-12 14:01:43
17785703,46634954,46634954,530249913,530243613,789,t,t,2016-10-10 17:31:59,2016-10-17 18:03:11
17794918,46634954,46634954,530412256,530386259,791,t,t,2016-10-10 22:37:09,2016-10-11 12:59:24
17832302,46634954,46634954,531464194,530786213,793,t,t,2016-10-11 16:54:55,2016-10-11 19:26:54
17834176,46634954,46634954,531478071,530786213,795,t,t,2016-10-11 19:26:16,2016-10-12 13:59:41
17821145,46634954,46634954,531053657,531030746,796,t,t,2016-10-11 19:40:26,2016-10-12 20:41:18
17820448,46634954,46634954,531030751,531030746,797,t,t,2016-10-11 20:27:31,2016-10-12 20:14:21
17849281,46634954,46634954,531824305,531824293,798,t,t,2016-10-12 14:22:50,2016-10-12 14:49:09
17851510,46634954,46634954,531860938,531860937,799,t,t,2016-10-12 15:34:05,2016-10-12 18:16:57
17859309,46634954,46634954,532085217,532085216,802,t,t,2016-10-12 19:25:21,2016-10-13 19:45:08
17860284,46634954,46634954,532101204,532101197,804,t,t,2016-10-12 20:49:47,2016-10-13 19:05:54
17861414,46634954,46634954,532114860,532101197,805,t,t,2016-10-12 20:52:42,2016-10-13 16:50:04
17860459,46634954,46634954,532103064,532101197,806,t,f,2016-10-12 21:09:08,
17874247,46634954,46634954,532399263,532101197,808,t,t,2016-10-13 12:59:20,2016-10-18 14:56:55
17877943,46634954,46634954,532677258,532572926,813,t,t,2016-10-13 17:12:25,2016-10-13 17:58:56
17877036,46634954,46634954,532572939,532572926,814,t,t,2016-10-13 17:31:59,2016-10-13 19:39:31
17877634,46634954,46634954,532646871,532572926,815,t,t,2016-10-13 17:46:03,2016-10-13 19:00:14
17884505,46634954,46634954,533092503,533092499,816,t,t,2016-10-13 21:10:55,2016-10-14 15:17:27
17890314,46634954,46634954,533407843,533092499,817,t,t,2016-10-14 01:09:10,2016-10-14 15:47:29
17890522,46634954,46634954,533410491,533092499,818,t,t,2016-10-14 01:20:50,2016-10-25 14:53:51
17916449,46634954,46634954,533903136,533092499,821,t,t,2016-10-14 14:42:03,2016-10-14 15:05:49
17917658,46634954,46634954,533919795,533919791,826,t,t,2016-10-14 15:20:36,2016-10-14 18:24:21
17919317,46634954,46634954,533963030,533963025,827,t,t,2016-10-14 16:20:46,2016-10-15 01:44:17
17923336,46634954,46634954,534075599,534075597,828,t,t,2016-10-14 18:49:09,2016-10-14 19:25:39
17926563,46634954,46634954,534243445,534243439,833,t,t,2016-10-14 20:49:42,2016-10-15 02:11:23
17980216,46634954,46634954,536027509,534719334,835,t,t,2016-10-17 12:45:40,2016-10-17 13:20:51
17995687,46634954,46634954,536436781,536231941,838,t,f,2016-10-17 23:09:35,2016-10-18 05:52:46
18011681,46634954,46634954,536860349,536231941,839,t,t,2016-10-18 13:14:56,2016-10-19 02:40:35
18008566,46634954,46634954,536851033,536809391,844,t,t,2016-10-18 17:08:40,2016-10-18 22:07:57
18011388,46634954,46634954,536919983,536809391,845,t,t,2016-10-18 18:19:07,2016-10-19 23:37:29
18039404,46634954,46634954,537428777,537428774,852,t,t,2016-10-19 15:17:58,2016-10-19 20:42:53
18056866,46634954,46634954,537607085,537607084,857,t,t,2016-10-19 21:11:23,2016-10-21 14:10:09
18063756,46634954,46634954,537790911,537790910,858,t,t,2016-10-20 02:19:23,2016-10-24 15:11:30
18083895,46634954,46634954,538133417,537790910,860,t,t,2016-10-20 13:48:49,2016-10-20 15:17:42
18084406,46634954,46634954,538136465,537790910,861,t,t,2016-10-20 14:05:19,2016-10-21 14:55:21
