id,sha,author_id,committer_id,project_id,created_at
79939633,3d0394023f6be18103f621c52f127baf993be025,30172,30172,7149279,2013-12-29 02:41:25
80068707,c1adeadd7b21038115e4ed11e5fec7fb198fc0db,5096,5096,7163319,2013-12-30 02:08:14
80132810,408f169ce4ba72c21be3f9ee47efba85f45441d1,2410735,2410735,7170095,2013-12-30 13:10:59
80174714,ed1aa224832b90f3623844a186b636ddb79632db,30172,30172,7149279,2013-12-30 18:18:05
80571353,0fc29e6af2dddefeb771deba9955c52480ca475f,870875,870875,7149279,2014-01-03 18:09:23
80571354,abfdfb8fd89e628d32de30a5264495cf0672042a,870875,870875,7149279,2014-01-03 18:20:47
80580197,74cc19261653049b8493818f75397441c804f045,870875,870875,7149279,2014-01-03 22:00:25
80958524,f6ae67e5ea46cfbd496f1de03860a720a0636067,30172,30172,7149279,2014-01-03 22:04:47
80992221,931d371527e6c2381a074aa7aa67e566fef0edaf,30172,30172,7149279,2014-01-04 04:20:38
80591941,4a1ae2e3d26ca99fbf89af9d1acb71747bf31337,30172,30172,7149279,2014-01-04 04:20:59
80571355,83e7a055e2e0ef8509709d7880eece1d2e2e76a3,870875,870875,7149279,2014-01-04 10:42:13
80591938,e7e23a4d62bf1c2ec6a8654eae533c39412f90a9,30172,30172,7149279,2014-01-04 10:45:37
80591945,c5c12411b8c0b2039060dc88c29e943c8f8c06d6,870875,870875,7149279,2014-01-04 10:47:45
80601182,970db51a98f8e2f65e9f52cdc30cb9bffbc85bbf,30172,30172,7149279,2014-01-04 10:49:18
80601183,1425017a46d83a7263cf110d04ce4723930e7d7b,870875,870875,7149279,2014-01-04 19:30:30
80622309,4c1300ddf3b4715f5afc330ce001905db42261f2,30172,30172,7149279,2014-01-04 23:20:27
80622304,2745033aafa72b573d30e0b5d46d6d3aebc7f46a,30172,30172,7149279,2014-01-05 07:07:33
80622311,2b4d31613391443426f75d57440c43dfed246b74,802336,802336,7238872,2014-01-05 19:43:40
80623472,78a86f383969d18c790fae1417ca416a5151c429,870875,870875,7149279,2014-01-05 20:46:13
81213602,7c3c71c34afa7f25aa7536e7fea3649036a93eec,30172,30172,7149279,2014-01-05 21:09:53
80643830,2c3e7a39a60f9eb88fd698ccdb794b12094e6b0a,30172,30172,7149279,2014-01-05 21:11:29
80643829,603510740c62f820ba88c670d762adff40d69ce2,30172,30172,7149279,2014-01-05 21:26:26
80643834,b13b7c4dd896c32d26936541e3503ee47e308ee6,870875,870875,7149279,2014-01-06 13:52:05
80688601,8dd624989072159daa3e5d391f84890e5eb5ade3,870875,870875,7149279,2014-01-07 17:41:49
80708547,904a174d23954597b3c7e64061a8825710dedeb7,116506,116506,4363216,2014-01-08 06:35:34
80725373,474d5e2428eabae1075f36d7bb7fe00f547bc15f,30172,30172,7149279,2014-01-08 10:11:24
80682002,152d1b7ae41fbcefb427734b1db814d38617e2fc,39470,39470,7132540,2014-01-08 15:15:42
80725375,1d47b1856eef22991dd30012aa273d30b83e5640,39470,39470,7132540,2014-01-08 16:06:03
80739998,5bf72b2343c2eba1ff9afd92cb93c11d51005068,3871,3871,7272437,2014-01-08 23:52:57
81782867,6b743b9ba74d206b3ed471ea20c8a7dcd59bead0,30172,30172,7149279,2014-01-09 00:06:17
81783763,eb53bb0946be69ed0112a49eec2033c4b8f86974,30172,30172,7149279,2014-01-09 00:14:24
81784128,f00fcba1d6d2176b23a26b33edc2269b7d09de81,30172,30172,7149279,2014-01-09 00:18:12
81784272,d8ec9b36683841fc5db711640e6eb68d820ebfed,30172,30172,7149279,2014-01-09 00:19:52
81784575,773c8881e092c19dced9d05851902b2923323c8d,30172,30172,7149279,2014-01-09 00:22:15
81787542,5bca79e43d243b607cfd0b0e7bff40ff388d53af,30172,30172,7149279,2014-01-09 00:50:19
81788236,1e7dc888c8d3b7d148542a685da487a4a477924f,30172,30172,7149279,2014-01-09 00:57:30
80743755,ed1674f9807ba0d943b4db16cdb645f3171491be,30172,30172,7149279,2014-01-09 01:00:41
80743754,ce888af6e3b9ca584d6460bd8d893167c7ab6b54,30172,30172,7149279,2014-01-09 01:03:31
80743757,960b056a8454013b4e1939218762a40c4f588cf2,142732,142732,7273792,2014-01-09 02:44:30
80743889,525c57b143fea60515dc76e86896ac164cba57f1,142732,142732,7273792,2014-01-09 02:53:41
80744029,d43e7e7bb287cdb6b17a2af719c4a702b6d4208d,142732,142732,7273792,2014-01-09 03:00:02
81802262,d9e630fb8481e4c953c3db94c4738daba2baa2d9,30172,30172,7149279,2014-01-09 03:16:13
81802284,381f05cbbb7df19f14a62dfdb133ce4f8dfcf6a6,30172,30172,7149279,2014-01-09 03:16:24
81802314,0135244f5aa89af4215542dae0a9b0b098fb9b01,30172,30172,7149279,2014-01-09 03:16:39
81813929,cde327ac05a89475ae25e075d21c34eccf3b4305,30172,30172,7149279,2014-01-09 05:25:35
81824513,32e59ef67bcacd49b9ce6f128fae583668dbad17,30172,30172,7149279,2014-01-09 07:10:06
81825286,c29cb15680d97a0c2a54712508e7024c6baa5dde,30172,30172,7149279,2014-01-09 07:15:13
81825293,7a60eb9d3654034af043d0d9230e556330f05ebe,30172,30172,7149279,2014-01-09 07:15:56
80688598,c00f39b58d7afb8c7c83570cde4c90348bdca160,30172,30172,7149279,2014-01-09 07:16:02
80688596,5fc5637664d411da6e83251ff09f4831441d4aba,30172,30172,7149279,2014-01-09 07:17:54
80751890,47c39e726d439a16d4f44707580c15a45a6dd62c,30172,30172,7149279,2014-01-09 07:22:09
80751882,128bd21cc8fa5198837f7a351ae1fe0185ddc3aa,30172,30172,7149279,2014-01-09 08:01:35
80751891,d4df8baaad5af4f0ecbf164d4537f92c7108fb4e,52238,52238,7149279,2014-01-09 09:28:08
80753644,a054d3bf27bec81d74d5b66de81307ba41e16a7b,30172,30172,7149279,2014-01-09 10:17:56
80753646,42d0248a429d2a7f697b240126fd1b5ceb078f3a,870875,870875,7000070,2014-01-09 10:36:28
80760252,099a8eb02ed425092673a97ffdc6725f580e8bf4,30172,30172,7149279,2014-01-09 10:50:50
80760254,0658a1e183dcdcd769ad1a3c53408cc0ddc46dd6,1031347,1031347,7279707,2014-01-09 14:08:57
80763312,3d75052cab28f92b6d39286a704a17db0e542cac,52238,52238,7280522,2014-01-09 15:52:07
80764904,e081f2a9654a9e0f6fc480e4592f3777ddddaad4,3871,3871,7272437,2014-01-09 16:11:08
80768999,c10c404f2c9f28adbcb8429e12bd92d5d45523c7,877180,877180,7281960,2014-01-09 18:03:18
81954495,081c446a1aecd732ec90ba37078cf8709995af7c,30172,30172,7149279,2014-01-09 21:00:01
80799351,9610d8e633a9a05dc47fb48d638abf21357792e7,30172,30172,7149279,2014-01-09 21:01:31
80799349,23b2e41c8be1888f4ef79bed05219ac13a359af9,30172,30172,7149279,2014-01-09 21:03:15
80799355,d5b4b576a0fc1980beb1a18d6c9eb402efb30fab,877180,877180,7281960,2014-01-10 13:42:24
80871280,18968292ff9bb2a141fd5583dba65bce0c1eacbd,26978,26978,7301427,2014-01-10 21:27:35
81554007,13aa051acb51c7fd30421f60f13aa7d37ade425e,30172,30172,7149279,2014-01-10 23:42:01
81554013,717a2db04d956fb70f94ebe36f2c4c2213e847d4,52238,52238,7280522,2014-01-11 17:48:14
81825634,804ef4c8ecbc48c761ba37d156fbd4675eca7a51,30172,30172,7149279,2014-01-11 17:55:19
82264798,b305c1c722e207364b5db2eab826055f7c77af48,30172,30172,7149279,2014-01-11 17:56:24
81825629,a5f4ae477ab1abca5ebdb3a99be7a6c574e452b9,30172,30172,7149279,2014-01-11 17:58:30
81825642,1b52562fbc79b88959131fc2b3bd39802cc62d8e,3023254,3023254,7344219,2014-01-12 00:26:02
82328721,277d5989412268405e8f7973e02148c25ddfe1e8,30172,30172,7149279,2014-01-12 04:46:43
82479952,45fdcfcbdd6b4a909de80bfc816aa4e33eb73db4,1966995,1966995,7374673,2014-01-13 02:18:03
82483374,2c064bbae850100fc43e5d8ada1e816033631e7e,30172,30172,7149279,2014-01-13 02:54:25
82498559,19cb401bbc1a49c82a61359fed79023988056b91,795913,795913,4834858,2014-01-13 05:16:43
82500262,03c44aeeb378ec310a3b2d068d9286e4541c2069,30172,30172,7149279,2014-01-13 05:33:55
82510296,9712a877f97ca67a35892906187bcd0aab286c3b,116506,116506,4363216,2014-01-13 07:01:56
82547131,30c6893bd91ded7fa38709bcad85c19b64e2e6c7,30172,30172,7149279,2014-01-13 11:19:44
82550056,df1c1fa75df7db91b69ffa76f058604deb106d38,46713,46713,7381827,2014-01-13 11:38:40
82552490,362c1c0fe7220f71e07bf86a1df505d1025ea07d,46713,46713,7381827,2014-01-13 11:38:40
