id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
13516513,34314739,34314739,417516060,417516033,15,t,f,2016-04-01 11:32:10,2016-04-01 11:36:58
13517916,34314739,34314739,417543515,417517785,16,t,f,2016-04-01 12:38:06,2016-04-01 12:49:41
13532936,34345230,34314739,417814746,417548596,17,f,f,2016-04-01 21:42:25,2016-04-27 13:59:36
13581830,34314739,34314739,418960467,417548596,18,t,f,2016-04-04 09:40:45,2016-04-04 10:18:10
13591063,34314739,34314739,419147273,418976052,19,t,f,2016-04-04 15:51:04,2016-04-05 08:13:16
13652427,34314739,34314739,420348768,419568035,20,t,f,2016-04-06 12:44:18,2016-04-21 06:58:59
13881458,35103239,34314739,426068958,419568035,22,f,f,2016-04-15 12:55:20,2016-04-15 23:23:03
13900048,34314739,34314739,426484223,426484222,24,t,f,2016-04-16 01:53:49,2016-04-16 11:45:03
13965462,35103239,34314739,427690520,427690513,25,f,t,2016-04-18 13:15:35,2016-04-18 13:30:11
13975110,34314739,34314739,427804926,427804925,27,t,f,2016-04-18 18:56:38,2016-04-18 21:23:45
14038983,34314739,34314739,430500203,429405261,28,t,f,2016-04-20 15:29:31,2016-04-20 15:48:23
14111747,35103239,34314739,431849986,430921970,29,f,f,2016-04-22 16:02:33,2016-04-25 06:16:13
14115388,35103239,34314739,431914134,430921970,31,f,f,2016-04-22 18:09:59,2016-04-22 20:08:54
14170149,34314739,34314739,433225737,431977203,32,t,f,2016-04-25 06:15:22,2016-04-25 06:55:53
14179391,34314739,34314739,433420415,433241234,33,t,f,2016-04-25 13:22:40,2016-04-25 21:59:36
14247091,34314739,34314739,434734072,433726243,35,t,f,2016-04-27 10:22:39,2016-04-27 12:27:02
14261155,34314739,34314739,434993134,434841749,36,t,f,2016-04-27 18:13:05,2016-05-03 13:29:26
14324640,35103239,34314739,436271740,434841749,37,f,f,2016-04-29 14:55:27,2016-04-29 15:27:19
14676381,34314739,34314739,443186860,438466619,42,t,f,2016-05-12 21:05:54,2016-05-13 12:48:48
14779936,34314739,34314739,447357922,445365934,43,t,f,2016-05-17 10:19:25,2016-05-18 11:54:28
14815299,34314739,34314739,448073106,448070133,44,t,f,2016-05-18 12:00:52,2016-05-18 17:08:10
14879247,35103239,34314739,449421955,448256692,47,f,f,2016-05-20 13:08:10,2016-05-20 16:05:36
14937343,35103239,34314739,450466748,449522052,50,f,f,2016-05-23 10:45:27,2016-05-23 19:22:21
14959772,34314739,34314739,451123040,449522052,51,t,f,2016-05-23 18:41:39,2016-05-24 12:44:38
14971322,34314739,34314739,451650585,451616852,53,t,f,2016-05-24 13:42:42,2016-05-25 20:30:33
15007317,34314739,34314739,452404818,451616852,54,t,f,2016-05-25 16:24:41,2016-05-25 20:30:33
15014341,34314739,34314739,452543150,452529397,55,t,f,2016-05-25 20:55:22,2016-05-26 12:02:10
15029522,34314739,34314739,452908113,452529397,56,t,f,2016-05-26 09:29:44,2016-05-26 09:33:57
15030478,34314739,34314739,452930718,452910456,57,t,f,2016-05-26 10:15:26,2016-05-26 10:47:12
15183756,34314739,34314739,456422740,452977305,58,t,t,2016-06-01 21:16:22,2016-06-01 21:22:09
15307211,38557432,34314739,460044845,457118349,59,f,t,2016-06-07 05:54:50,2016-06-09 18:00:45
15383420,34314739,34314739,462016153,462011867,60,t,t,2016-06-09 18:08:48,2016-06-09 18:11:22
15385390,35103239,34314739,462051399,462017322,61,f,t,2016-06-09 19:18:05,2016-06-09 19:34:16
15385881,34314739,34314739,462061571,462059905,62,t,t,2016-06-09 19:37:36,2016-06-09 19:38:08
15428819,35103239,34314739,463090627,462061900,63,f,f,2016-06-12 02:46:12,2016-08-15 18:39:16
15443879,38902085,34314739,463655048,462061900,64,f,t,2016-06-13 13:29:55,2016-06-15 15:52:29
15561595,34314739,34314739,468086300,468072634,67,t,f,2016-06-22 17:38:08,2016-06-27 10:08:50
15577331,38902085,34314739,468660580,468072634,68,f,t,2016-06-23 20:51:21,2016-06-27 10:03:14
17887996,38902085,34314739,471272386,487338230,71,f,f,2016-06-29 16:30:25,2016-10-27 19:58:32
16018941,35103239,34314739,487338242,487338225,73,f,t,2016-08-04 16:23:04,2016-08-05 07:49:10
16209769,43379176,34314739,490595645,490595638,74,f,t,2016-08-12 13:49:59,2016-08-15 12:05:02
16219092,34314739,34314739,491162743,490595638,75,t,t,2016-08-12 19:26:15,2016-08-15 12:57:49
16268614,34314739,34314739,493833703,493831654,76,t,t,2016-08-15 13:03:57,2016-08-15 17:28:51
16270461,34314739,34314739,493875611,493831654,77,t,t,2016-08-15 14:30:43,2016-08-15 17:32:56
16272511,34314739,34314739,493915924,493831654,78,t,t,2016-08-15 15:45:51,2016-08-15 17:51:43
16272575,34314739,34314739,493917107,493831654,79,t,t,2016-08-15 15:48:08,2016-08-15 18:03:54
16275907,34314739,34314739,493982101,493979625,80,t,t,2016-08-15 17:58:31,2016-08-15 21:38:09
16309494,43642064,34314739,494575482,494389676,83,f,t,2016-08-16 19:01:22,2016-09-14 12:33:11
16313116,34314739,34314739,494595318,494389676,84,t,t,2016-08-16 21:31:51,2016-08-23 17:35:03
16493456,34314739,34314739,499002141,498873591,85,t,t,2016-08-23 21:48:49,2016-08-25 22:02:08
16613347,35103239,34314739,501681829,500345816,86,f,t,2016-08-28 14:11:47,2016-08-29 07:42:18
16615122,35103239,34314739,501737069,500345816,87,f,t,2016-08-28 16:35:23,2016-08-29 11:07:45
16710995,35103239,34314739,503433463,502153589,88,f,t,2016-09-01 01:26:33,2016-09-01 10:45:32
16814540,34314739,34314739,507103414,504926565,89,t,t,2016-09-05 15:09:09,2016-09-06 08:26:04
16831920,34314739,34314739,507527382,507519980,90,t,t,2016-09-06 08:37:46,2016-09-06 08:49:44
17001352,35103239,34314739,511320573,507534248,91,f,t,2016-09-12 15:58:10,2016-09-13 12:24:31
17011226,35103239,34314739,511541636,507534248,92,f,f,2016-09-12 22:10:48,2016-09-14 02:26:57
17033123,45691841,34314739,512058914,511922625,95,f,t,2016-09-13 16:02:26,2016-09-13 16:50:16
