id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
5135736,13088592,11793729,180509475,157952539,49,f,f,2014-11-02 21:12:53,
5180953,13088592,11793729,183440750,149989177,50,f,t,2014-11-04 22:39:40,2014-11-06 22:47:01
5933706,9375857,11793729,208197657,206126429,90,f,f,2015-01-19 19:21:39,2015-02-02 19:01:43
6320276,9375857,11793729,219157200,214613932,96,f,f,2015-02-17 23:22:15,2015-02-18 13:32:54
6351462,16511868,11793729,219989044,216942355,97,f,f,2015-02-19 20:41:24,2015-02-20 22:28:01
6349094,16511868,11793729,219915341,216942355,98,f,f,2015-02-19 20:41:35,2015-02-20 22:27:19
6365627,9375857,11793729,220714679,193407393,99,f,f,2015-02-20 22:34:26,2015-02-20 23:03:38
6736025,9375857,11793729,233782402,219362821,102,f,f,2015-03-19 14:56:41,2015-03-19 23:49:22
6756878,9375857,11793729,234320830,222062490,104,f,f,2015-03-20 19:08:46,2015-03-20 22:13:04
6758753,16511868,11793729,234361482,233978668,105,f,f,2015-03-20 21:33:51,2015-03-20 22:06:13
6761618,16511868,11793729,234387959,234361482,106,f,t,2015-03-20 22:50:21,2015-03-21 05:05:31
6813648,16511868,11793729,235962293,234447409,107,f,f,2015-03-25 03:18:46,2015-03-25 03:19:19
6828378,9375857,11793729,236338413,235962607,108,f,f,2015-03-25 22:14:07,2015-03-25 23:30:57
6886381,9375857,11793729,238138167,236358860,110,f,f,2015-03-30 21:23:07,2015-03-31 03:40:40
6889904,16511868,11793729,238257903,238257885,111,f,f,2015-03-31 03:50:09,2015-03-31 04:05:47
6890597,16511868,11793729,238350023,238349989,112,f,f,2015-03-31 05:20:08,2015-03-31 05:21:15
6923379,16511868,11793729,239083864,238349989,113,f,f,2015-04-01 21:57:27,2015-04-10 00:56:51
7016513,9375857,11793729,242292026,234372409,114,f,f,2015-04-08 18:50:26,2015-04-09 18:53:38
7019370,9375857,11793729,242358353,238349989,115,f,f,2015-04-08 22:12:33,2015-04-09 20:02:32
7036500,11793729,11793729,242890393,220997157,116,t,f,2015-04-09 21:07:43,2015-04-10 00:19:02
7046406,18614997,11793729,243173779,222060488,117,f,f,2015-04-10 13:39:16,2015-04-11 10:02:04
7050840,16511868,11793729,243288596,243007272,118,f,f,2015-04-10 18:14:10,2015-04-10 19:01:11
7050896,16511868,11793729,243290037,243290033,119,f,f,2015-04-10 18:17:10,2015-04-10 19:00:51
7124215,9375857,11793729,245403487,242864695,124,f,f,2015-04-15 23:54:08,2015-04-15 23:58:28
7164781,11793729,11793729,246521731,243314843,134,t,f,2015-04-18 16:47:22,2015-04-18 16:53:47
7229668,16511868,11793729,248374768,243304995,139,f,f,2015-04-22 22:04:05,2015-04-22 22:33:19
7230328,9375857,11793729,248396783,248374743,141,f,f,2015-04-22 23:08:31,2015-04-23 16:02:44
7277305,19289358,11793729,249723804,222060488,144,f,f,2015-04-26 09:31:30,2015-04-26 18:50:06
7293760,11793729,11793729,249880260,245404560,145,t,f,2015-04-27 14:54:47,2015-04-27 14:54:57
