id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
4327308,10945476,9884072,145092658,141821487,14,f,f,2014-08-04 05:10:29,2014-08-04 06:23:32
4336181,10945476,9884072,145428509,145121712,15,f,f,2014-08-05 01:57:09,2014-08-11 06:43:52
4336412,10945476,9884072,145438138,145103796,16,f,f,2014-08-05 02:51:23,2014-08-11 08:02:51
4358110,10945476,9884072,146249244,145121712,17,f,f,2014-08-07 07:04:04,2014-08-20 02:31:06
4406336,10945476,9884072,149222473,148261788,18,f,f,2014-08-13 06:45:44,2014-08-28 08:48:13
4467729,10945476,9884072,152288072,152209328,19,f,f,2014-08-20 08:06:46,
4533655,10945476,9884072,155147186,152205029,20,f,f,2014-08-28 08:07:12,2014-08-28 08:41:58
4619919,10945476,9884072,156608285,156608276,21,f,t,2014-09-06 04:35:03,2014-09-06 04:43:36
4630313,10945476,9884072,156759757,156608285,22,f,f,2014-09-08 05:39:41,2015-05-21 19:05:59
4670833,10945476,9884072,157252510,157252504,23,f,f,2014-09-12 09:24:22,2015-03-20 03:53:04
4842162,10945476,9884072,161804883,160612608,24,f,t,2014-10-02 02:37:05,2014-10-02 02:59:53
4842237,10945476,9884072,161805614,160612608,25,f,f,2014-10-02 02:42:29,2014-10-02 03:00:34
4842194,10945476,9884072,161805614,161805611,26,f,t,2014-10-02 02:42:50,2014-10-02 03:02:58
4884632,10945476,9884072,165615778,161805614,27,f,f,2014-10-07 02:04:20,2014-10-08 06:40:30
4895578,10945476,9884072,166559542,166559538,28,f,f,2014-10-08 00:25:51,2015-05-21 19:05:59
5813503,10945476,9884072,204572831,161804883,29,f,f,2014-10-09 08:43:41,2015-03-18 08:32:42
4913609,10945476,9884072,169177311,161804883,30,f,f,2014-10-10 01:52:20,2014-10-10 03:12:30
5150635,10945476,9884072,181246226,169177311,31,f,f,2014-10-10 09:43:16,2014-11-04 06:36:36
5065218,10945476,9884072,177303870,171028225,32,f,f,2014-10-27 01:42:37,2014-10-28 07:55:10
5067478,10945476,9884072,177408167,171028225,33,f,f,2014-10-27 09:15:49,2014-10-28 07:15:49
5080223,10945476,9884072,177884171,177838948,34,f,f,2014-10-28 10:32:15,2015-05-21 19:06:00
5101621,10945476,9884072,179093173,177838948,35,f,f,2014-10-30 02:30:22,2015-05-21 19:06:00
5304393,10945476,9884072,184816630,181180009,36,f,f,2014-11-19 08:02:39,2015-04-15 03:00:20
5489696,10945476,9884072,186108470,181180009,37,f,f,2014-12-08 13:22:02,2015-03-18 03:47:19
5511345,10945476,9884072,186252605,181180009,38,f,f,2014-12-10 07:30:43,2015-03-19 09:48:26
5959373,10945476,9884072,208925703,208045898,39,f,f,2015-01-21 15:00:49,2015-03-18 10:07:31
6121669,10945476,9884072,213582838,210969735,40,f,f,2015-02-03 07:25:19,2015-02-10 08:23:27
6121801,15870659,9884072,213587175,210969735,41,f,f,2015-02-03 07:43:28,2015-02-10 08:29:53
6166945,16000652,9884072,214795483,210969735,42,f,f,2015-02-06 05:49:58,
6248096,10945476,9884072,217118756,213587175,43,f,f,2015-02-12 10:25:59,2015-03-04 01:55:01
6262625,10945476,9884072,217500374,208045898,44,f,f,2015-02-13 08:08:20,2015-03-19 10:03:54
6291934,10945476,9884072,218379424,208045898,45,f,f,2015-02-16 04:11:16,
6499725,10945476,9884072,225203964,223233802,46,f,f,2015-03-03 01:09:24,2015-03-03 02:40:48
6517890,10945476,9884072,225581439,225581438,47,f,f,2015-03-04 07:24:06,2015-03-05 02:27:15
6517945,10945476,9884072,225582757,208045898,48,f,f,2015-03-04 07:30:36,
6531040,15870659,9884072,225901421,208045898,49,f,f,2015-03-05 01:41:58,2015-03-05 02:27:21
6534630,10945476,9884072,226224387,208045898,50,f,f,2015-03-05 09:11:59,
6634207,10945476,9884072,229033229,229033228,51,f,f,2015-03-12 08:29:15,
6926563,14047849,9884072,239131835,238501735,52,f,f,2015-04-02 05:06:42,2015-04-02 05:17:53
7024688,10945476,9884072,242568140,241467644,53,f,f,2015-04-09 07:44:16,2015-05-05 06:43:00
7025609,10945476,9884072,242589826,239845721,54,f,f,2015-04-09 08:54:00,2015-04-16 04:48:38
7074434,10945476,9884072,244088981,241467644,55,f,f,2015-04-13 05:08:47,2015-04-14 00:39:15
7252225,10945476,9884072,248987275,244471899,56,f,f,2015-04-24 07:12:04,2015-05-05 06:37:59
7286969,10945476,9884072,250057267,245447177,57,f,f,2015-04-27 06:25:58,2015-05-05 03:08:32
7402315,10945476,9884072,248989101,244471899,58,f,f,2015-05-05 06:00:42,2015-05-05 06:34:58
7422429,10945476,9884072,253981843,250057267,59,f,f,2015-05-06 09:05:16,2015-09-23 11:01:26
7499693,10945476,9884072,255563975,250057267,60,f,f,2015-05-12 02:26:28,2015-05-22 02:25:35
7516200,10945476,9884072,256095269,250057267,61,f,f,2015-05-13 00:22:03,2015-05-22 02:20:07
7516516,10945476,9884072,256122890,253450538,62,f,f,2015-05-13 01:02:55,2015-05-21 19:06:00
7517085,10945476,9884072,256180734,253450538,63,f,f,2015-05-13 02:25:32,2015-05-21 19:06:00
7758033,10945476,9884072,263918666,249973123,64,f,f,2015-05-29 12:55:51,
8130725,10945476,9884072,273471131,261315631,65,f,f,2015-06-24 06:05:44,2015-09-29 02:59:55
8217058,10945476,9884072,277519333,261316429,66,f,f,2015-06-30 01:12:57,2015-06-30 05:51:33
8396344,10945476,9884072,279845013,277519333,67,f,f,2015-07-09 05:53:50,2015-07-13 01:52:12
8471260,10945476,9884072,280322194,280322179,68,f,f,2015-07-15 00:39:02,2015-07-16 01:29:28
8474575,10945476,9884072,280344063,280322179,69,f,f,2015-07-15 01:46:47,2015-07-16 01:32:33
8475886,10945476,9884072,280353112,280322179,70,f,f,2015-07-15 05:32:14,2015-07-16 01:15:54
8583225,10945476,9884072,283886130,283886120,71,f,f,2015-07-22 02:23:12,2015-07-22 02:29:02
8946814,10945476,9884072,299715313,291110776,72,f,f,2015-08-17 23:42:43,2015-08-21 01:22:09
