id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
1256156,3097629,2920869,36496098,36208151,3,f,f,2013-03-16 14:17:34,2013-03-22 13:49:28
1359038,3351178,2920869,37967646,37967644,10,f,f,2013-04-11 13:49:10,2013-06-27 22:28:54
1589486,3886742,2920869,43365770,42426330,12,f,f,2013-05-23 08:56:53,2013-06-13 05:09:25
1556092,3954977,2920869,43894546,43867034,13,f,t,2013-06-03 11:48:33,2013-06-05 20:05:39
1552220,3581322,2920869,43867047,43867034,15,f,t,2013-06-05 05:56:18,2013-06-07 19:47:53
1589484,4067218,2920869,45403432,45380172,18,f,f,2013-06-13 05:09:07,2014-02-08 18:43:54
1699064,2920869,2920869,48045072,48045069,19,t,f,2013-07-05 06:56:34,2013-07-05 10:50:49
1899371,4696052,2920869,53153151,53153148,25,f,f,2013-08-06 20:48:47,2014-01-16 23:33:10
1916722,4872679,2920869,53267566,53153148,28,f,f,2013-08-09 22:48:14,2013-08-14 18:58:21
2117245,2920869,2920869,58264611,58264605,33,t,f,2013-09-18 17:06:04,2013-09-24 21:53:30
2855334,5860084,2920869,84476120,84239526,46,f,f,2014-01-22 09:30:32,2014-01-22 10:20:52
2901900,2920869,2920869,85940820,85920151,50,t,t,2014-01-30 15:39:28,2014-01-30 15:39:36
2984010,7808939,2920869,88420964,87909852,52,f,f,2014-02-08 18:30:47,2014-02-08 19:29:48
3330772,8330996,2920869,98682900,98680056,55,f,f,2014-03-24 18:13:38,2014-05-20 17:07:34
3556732,9329046,2920869,104036739,99768369,58,f,f,2014-04-24 14:26:03,2014-06-09 05:48:04
3597688,8375834,2920869,106103984,99768369,60,f,f,2014-04-29 05:08:38,2014-04-30 22:19:55
3608000,9513708,2920869,106307527,99768369,61,f,f,2014-04-30 04:36:55,2014-04-30 04:50:27
4344207,8120671,2920869,145732139,142822281,74,f,f,2014-08-05 19:12:07,2014-08-05 19:12:22
4622067,11719800,2920869,156638764,156638262,75,f,t,2014-09-06 15:17:18,2014-09-08 16:11:05
5052663,12870785,2920869,176694506,175982483,76,f,f,2014-10-24 23:23:38,2014-10-26 22:48:51
5293881,13500919,2920869,184749513,179360978,77,f,f,2014-11-18 15:21:29,2015-01-14 19:19:25
5788933,14917999,2920869,204055749,200927017,78,f,f,2015-01-09 14:22:01,2015-01-15 10:59:38
5886629,14917999,2920869,204055749,205322607,79,f,f,2015-01-15 10:59:05,2015-04-24 13:01:22
6117167,15854310,2920869,213454182,205322607,80,f,f,2015-02-02 22:03:53,
6610144,15854310,2920869,228564089,227025351,81,f,f,2015-03-10 17:37:51,2015-03-21 20:53:24
6668231,17472037,2920869,230834051,230830242,82,f,f,2015-03-15 03:52:03,2015-03-21 23:21:14
6732778,17679043,2920869,233690523,230830242,83,f,f,2015-03-19 11:40:00,2015-06-30 18:16:03
6992532,9349863,2920869,241675621,236953860,84,f,f,2015-04-07 13:34:42,
6992624,9349863,2920869,241675621,241122934,85,f,f,2015-04-07 13:39:11,2015-04-24 12:58:50
7153407,18927271,2920869,246187761,245983386,88,f,f,2015-04-17 16:21:24,
7498026,2920869,2920869,255501184,251383506,90,t,f,2015-05-11 22:50:01,2015-05-11 22:51:05
7498032,2920869,2920869,255501184,255501189,91,t,f,2015-05-11 22:50:46,
7749265,20567150,2920869,263827476,251383506,93,f,t,2015-05-28 21:39:47,2015-05-29 04:07:08
7958417,21187448,2920869,269942899,269427575,95,f,t,2015-06-10 22:56:29,2015-06-12 03:40:41
8076248,3581322,2920869,272620076,272620074,96,f,f,2015-06-19 16:37:22,2015-06-23 23:29:56
8107821,2920869,2920869,273022310,273022295,97,t,t,2015-06-22 18:53:03,2015-06-22 21:03:30
8126281,2920869,2920869,273294023,273234397,99,t,t,2015-06-23 16:30:16,2015-06-23 21:15:14
8124092,3581322,2920869,273234404,273234397,100,f,f,2015-06-23 18:40:53,2015-06-25 20:01:25
8140971,2920869,2920869,273697047,273697045,101,t,f,2015-06-24 18:08:40,2015-06-24 19:30:40
8142442,2920869,2920869,273727338,273727331,102,t,f,2015-06-24 19:37:02,2015-06-24 19:37:31
8142982,2920869,2920869,273740978,273727331,103,t,f,2015-06-24 20:14:42,2015-06-25 06:01:16
8154858,2920869,2920869,274223511,274223504,104,t,f,2015-06-25 13:53:10,2015-06-25 17:11:15
8159890,20567150,2920869,274365374,268937565,105,f,f,2015-06-25 19:27:29,2015-06-25 19:31:36
8160048,20567150,2920869,274368870,274365380,106,f,f,2015-06-25 19:36:29,2015-06-25 20:01:24
8164683,20567150,2920869,274685918,274685844,107,f,f,2015-06-26 03:56:20,2015-06-26 05:00:32
8202724,2920869,2920869,277186758,277181442,109,t,f,2015-06-29 09:17:50,2015-06-30 15:40:35
8216058,20567150,2920869,277489815,277459348,110,f,f,2015-06-29 23:24:20,2015-07-01 16:49:02
8234520,2920869,2920869,277926765,277921009,111,t,t,2015-06-30 20:24:57,2015-06-30 20:25:01
8264487,22022923,2920869,278613500,278508977,112,f,f,2015-07-02 12:15:00,2015-07-08 20:28:07
8349587,7323533,2920869,279548384,279513738,113,f,f,2015-07-06 08:14:39,2015-07-07 03:32:05
8349952,,2920869,,279513738,114,f,f,2015-07-07 04:05:51,2015-07-24 05:00:48
8344807,2920869,2920869,279513759,279513738,115,t,t,2015-07-07 18:42:31,2015-07-07 19:41:05
8365256,2920869,2920869,279653750,279653745,116,t,f,2015-07-08 16:52:37,2015-07-08 20:24:21
8367811,2920869,2920869,279669740,279653745,117,t,f,2015-07-08 18:23:15,2015-07-08 20:54:28
8370699,2920869,2920869,279688122,279688116,118,t,t,2015-07-08 20:48:13,2015-07-10 19:43:48
8381361,7323533,2920869,279753073,279688116,119,f,t,2015-07-09 11:47:08,2015-07-09 11:47:54
8408126,2920869,2920869,279916152,279916126,120,t,f,2015-07-10 16:53:31,2015-07-20 21:24:20
8432790,2920869,2920869,280074164,280074153,121,t,t,2015-07-13 09:48:43,2015-07-13 09:49:11
8488502,2920869,2920869,279916126,279916144,122,t,t,2015-07-16 19:34:27,2015-07-16 19:43:58
8499360,2920869,2920869,280501784,279916126,123,t,t,2015-07-17 14:48:27,2015-07-22 17:34:37
8533572,2920869,2920869,279916152,279916126,124,t,t,2015-07-20 15:35:42,2015-07-22 17:35:06
8579041,2920869,2920869,283830934,283830930,125,t,t,2015-07-22 18:27:30,2015-07-22 18:27:49
8602720,2920869,2920869,284221849,284001247,126,t,f,2015-07-23 03:05:54,2015-07-23 20:40:46
8589734,2920869,2920869,284001266,284001247,127,t,t,2015-07-23 10:20:23,2015-07-24 04:59:35
8602696,2920869,2920869,284221074,284001247,128,t,t,2015-07-23 20:41:15,2015-07-24 04:59:51
8622317,2920869,2920869,279008235,284508550,129,t,t,2015-07-24 06:13:55,2015-07-24 06:14:12
