id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
5100468,12940581,12940581,179036743,179005034,1,t,f,2014-10-29 23:18:36,2014-10-29 23:18:42
5112250,12940581,12940581,179498873,179036781,2,t,t,2014-10-30 21:46:05,2014-10-30 21:46:09
5180812,12940581,12940581,183415651,179547660,3,t,f,2014-11-06 22:04:28,2015-01-30 20:57:02
5180813,12940581,12940581,183416841,183416770,4,t,t,2014-11-06 22:04:40,2015-03-26 20:41:14
6999230,12940581,12940581,241827995,241409568,5,t,f,2015-04-07 20:26:12,2015-04-07 20:26:17
6999238,12940581,12940581,241838933,241838858,6,t,f,2015-04-07 20:26:27,2015-04-07 20:26:33
7088070,12940581,12940581,244431235,241839022,7,t,f,2015-04-13 22:05:32,2015-04-13 22:05:37
7104824,12940581,12940581,244877222,244866882,8,t,t,2015-04-14 20:42:23,2015-04-14 20:42:28
7104828,12940581,12940581,244877299,244877270,9,t,t,2015-04-14 20:42:36,2015-04-14 20:42:39
7105439,12940581,12940581,244892034,244877319,10,t,f,2015-04-14 21:35:07,2015-04-14 21:35:09
7105655,12940581,12940581,244897584,244892042,11,t,t,2015-04-14 21:56:13,2015-04-14 21:56:16
7106217,12940581,12940581,244914179,244897590,12,t,f,2015-04-14 22:57:10,2015-04-14 22:57:14
7116044,12940581,12940581,245182374,244914194,13,t,t,2015-04-15 13:45:37,2015-04-15 13:45:40
7116651,12940581,12940581,245214438,245214435,14,t,t,2015-04-15 14:22:35,2015-04-15 14:22:38
7153613,12940581,12940581,246192217,245214463,15,t,f,2015-04-17 16:32:47,2015-04-17 16:32:52
7153618,12940581,12940581,246192331,246192238,16,t,f,2015-04-17 16:33:08,2015-04-17 16:33:12
7158020,12940581,12940581,246293759,246193143,17,t,t,2015-04-17 21:46:21,2015-04-17 21:46:24
7158023,12940581,12940581,246293779,246293762,18,t,f,2015-04-17 21:46:32,2015-04-17 21:46:37
7158101,12940581,12940581,246295305,246293793,19,t,t,2015-04-17 21:54:20,2015-04-17 21:54:24
7158380,12940581,12940581,246304190,246295312,20,t,t,2015-04-17 22:30:36,2015-04-17 22:30:40
7158463,12940581,12940581,246307082,246304197,21,t,t,2015-04-17 22:44:22,2015-04-17 22:44:25
7211733,12940581,12940581,247876835,246309692,22,t,f,2015-04-21 22:29:31,2015-04-21 22:29:34
7264777,12940581,12940581,249295658,247877342,23,t,f,2015-04-24 22:39:24,2015-04-24 22:39:30
8076074,12940581,12940581,272617976,272617887,24,t,t,2015-06-19 16:23:52,2015-06-19 16:24:02
8144118,12940581,12940581,273778296,249295676,25,t,f,2015-06-24 21:54:47,2015-06-29 16:36:57
8160819,12940581,12940581,274386706,249295676,26,t,f,2015-06-25 20:21:10,2015-06-29 16:39:20
8161558,12940581,12940581,274414709,249295676,27,t,f,2015-06-25 21:19:47,2015-06-29 16:40:47
8161933,12940581,12940581,274432885,249295676,28,t,f,2015-06-25 21:54:24,2015-06-29 16:30:58
